,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Mackenzie,90,CA,1581014834,92,55.3,-123.17,267.15,3.1
374,Mount Isa,40,AU,1581014590,94,-20.73,139.5,299.15,0.6
375,Asau,90,RO,1581014835,59,46.43,26.4,274.26,2.1
376,Bowen,0,AU,1581014835,94,-20.02,148.23,297.59,0.5
377,Avera,90,US,1581014835,100,33.19,-82.53,297.15,3.6
378,Zatoka,100,UA,1581014835,74,46.07,30.47,271.15,5.0
379,Northam,20,GB,1581014836,81,51.03,-4.22,279.26,2.1
380,Lantawan,90,PH,1581014836,88,10.62,123.98,299.15,0.5
381,Caravelas,100,BR,1581014836,70,-17.71,-39.25,300.29,3.31
382,Caceres,36,ES,1581014837,80,39.52,-6.37,284.26,0.45
383,Hambantota,55,LK,1581014837,81,6.12,81.12,299.25,6.82
384,Dunedin,0,NZ,1581014837,75,-45.87,170.5,283.37,4.33
385,Jasper,90,US,1581014837,79,37.2,-94.35,274.82,2.6
386,Araceli,87,PH,1581014837,85,10.55,119.99,300.11,10.07
387,Pozo Colorado,23,PY,1581014838,33,-23.49,-58.8,310.98,2.86
388,Gazli,6,UZ,1581014838,67,40.13,63.45,281.34,6.36
389,Barra do Garcas,75,BR,1581014600,83,-15.89,-52.26,299.15,1.0
390,Monrovia,40,LR,1581014651,74,6.3,-10.8,303.15,4.9
391,Mattru,48,SL,1581014838,59,7.62,-11.83,302.55,3.72
392,Abbeville,0,FR,1581014839,93,50.1,1.83,277.15,1.5
393,Atambua,100,ID,1581014839,72,-9.11,124.89,298.25,0.51
394,Kralendijk,20,BQ,1581014839,66,12.15,-68.27,302.15,11.8
395,Kodinsk,64,RU,1581014839,96,58.69,99.18,260.07,1.83
396,Moses Lake,90,US,1581014839,80,47.13,-119.28,276.48,2.1
397,Camana,3,PE,1581014811,59,-16.62,-72.71,297.01,5.61
398,Cessnock,75,AU,1581014840,94,-32.83,151.35,293.15,2.6
399,Sambava,98,MG,1581014840,96,-14.27,50.17,295.54,0.88
400,Ribeira Grande,75,PT,1581014840,82,38.52,-28.7,290.15,10.8
401,Ipira,100,BR,1581014840,61,-12.16,-39.74,302.6,1.9
402,Ubari,0,LY,1581014841,25,26.59,12.78,285.22,3.77
403,Aberdeen,20,GB,1581014841,85,57.14,-2.1,277.04,0.5
404,Cayenne,40,GF,1581014841,58,4.93,-52.33,303.15,6.7
405,Chivilcoy,60,AR,1581014841,59,-34.9,-60.02,305.93,0.45
406,Bossier City,90,US,1581014841,93,32.52,-93.73,276.48,3.6
407,Batagay-Alyta,0,RU,1581014841,84,67.8,130.41,240.49,1.75
408,Ruhengeri,100,RW,1581014842,94,-1.5,29.64,285.17,1.09
409,Turje,43,HU,1581014842,69,46.98,17.11,275.15,2.1
410,Tabuleiro do Norte,87,BR,1581014842,42,-5.25,-38.13,305.71,2.13
411,Barsovo,20,RU,1581014842,100,61.17,73.17,264.15,5.0
412,Los Llanos de Aridane,20,ES,1581014842,72,28.66,-17.92,293.15,2.1
413,Novoagansk,63,RU,1581014843,95,61.94,76.66,260.08,4.4
414,Emirdag,99,TR,1581014843,93,39.02,31.15,272.71,3.13
415,Ostrovnoy,87,RU,1581014843,88,68.05,39.51,262.81,2.99
416,Mareeba,46,AU,1581014843,88,-17.0,145.43,298.15,0.5
417,Evensk,79,RU,1581014843,71,61.95,159.23,249.53,6.69
418,Kotra,0,IN,1581014844,60,25.82,79.32,286.79,3.05
419,Rabo de Peixe,20,PT,1581014844,63,37.8,-25.58,289.15,5.1
420,Maumere,100,ID,1581014844,82,-8.62,122.21,298.97,3.06
421,Mersa Matruh,0,EG,1581014844,37,31.35,27.25,286.15,3.6
422,Yeniseysk,87,RU,1581014844,93,58.45,92.17,264.53,3.65
423,Pauini,57,BR,1581014545,44,-7.71,-66.98,307.36,2.3
424,Ondangwa,72,NA,1581014845,40,-17.92,15.95,302.96,0.73
425,Lusambo,99,CD,1581014845,71,-4.97,23.45,298.86,1.03
426,Chamba,82,IN,1581014577,84,32.57,76.13,278.02,1.78
427,Kirillov,40,RU,1581014846,67,59.86,38.38,265.15,4.0
428,Quesnel,90,CA,1581014844,100,53.0,-122.5,269.15,1.62
429,Sao Gabriel da Cachoeira,20,BR,1581014846,52,-0.13,-67.09,307.15,3.1
430,Berlevag,75,NO,1581014847,53,70.86,29.09,270.15,10.8
431,Upington,20,ZA,1581014827,31,-28.45,21.26,305.15,3.6
432,Suez,0,EG,1581014677,41,29.97,32.53,290.9,4.92
433,Huarmey,84,PE,1581014847,48,-10.07,-78.15,301.45,4.8
434,Tokur,100,RU,1581014848,97,53.13,132.9,245.25,0.29
435,Valleyview,38,CA,1581014848,77,55.07,-117.29,271.24,4.83
436,Djibouti,49,DJ,1581014848,64,11.5,42.5,297.15,5.5
437,Husavik,40,IS,1581014848,65,66.04,-17.34,278.15,19.5
438,Raudeberg,75,NO,1581014848,100,61.99,5.14,281.48,3.1
439,Varhaug,75,NO,1581014848,100,58.61,5.65,279.26,3.1
440,Staraya Toropa,14,RU,1581014849,62,56.28,31.67,266.58,4.06
441,Biak,7,ID,1581014849,75,-0.91,122.88,301.17,3.59
442,Salinopolis,89,BR,1581014849,80,-0.61,-47.36,300.06,6.95
443,Ust'-Kan,99,RU,1581014849,89,50.93,84.76,263.34,2.88
444,Hasaki,20,JP,1581014835,58,35.73,140.83,269.15,2.6
445,Bandar-e Lengeh,0,IR,1581014850,88,26.56,54.88,291.15,2.1
446,Kavaratti,46,IN,1581014699,76,10.57,72.64,299.99,6.02
447,Fort William,100,GB,1581014850,91,56.82,-5.11,279.82,0.45
448,Mmabatho,20,ZA,1581014850,42,-25.85,25.63,300.15,1.5
449,Guantanamo,20,CU,1581014700,62,20.14,-75.21,303.15,6.2
450,Tutin,0,RS,1581014850,80,42.99,20.33,265.76,2.82
451,Buala,100,SB,1581014851,83,-8.14,159.59,299.97,6.71
452,Jalu,0,LY,1581014851,46,29.03,21.55,286.65,6.22
453,Kananga,89,CD,1581014851,84,-5.9,22.42,296.0,1.02
454,Pringsewu,100,ID,1581014851,87,-5.36,104.97,295.45,0.51
455,Valdez,65,EC,1581014851,65,1.25,-78.98,303.78,2.75
456,Severo-Kuril'sk,100,RU,1581014852,76,50.68,156.12,261.63,6.15
457,Wrzesnia,90,PL,1581014852,100,52.33,17.57,278.15,5.1
458,Pare,100,ID,1581014852,94,-7.77,112.2,297.71,1.61
459,Shirokiy,95,RU,1581014852,99,49.76,129.52,250.48,2.56
460,Impfondo,78,CG,1581014852,44,1.64,18.07,302.06,0.11
461,Amapa,62,BR,1581014853,55,1.0,-52.0,303.32,2.26
462,Mugur-Aksy,71,RU,1581014853,71,50.35,90.5,259.09,2.58
463,Nantucket,90,US,1581014853,100,41.28,-70.1,282.59,2.1
464,Cap Malheureux,40,MU,1581014853,78,-19.98,57.61,299.26,3.6
465,Kavieng,100,PG,1581014805,76,-2.57,150.8,301.7,3.62
466,San Policarpo,100,PH,1581014854,88,12.18,125.51,299.88,6.94
467,Esperance,29,AU,1581014854,72,-33.87,121.9,291.15,6.7
468,Dzhankoy,100,UA,1581014854,95,45.72,34.4,273.61,7.54
469,Collie,80,AU,1581014854,62,-33.37,116.15,294.26,1.18
470,Katangli,64,RU,1581014854,97,51.71,143.23,248.96,2.11
471,Rio Grande,20,BR,1581014690,49,-32.03,-52.1,307.15,4.1
472,Wanning,0,CN,1581014557,94,18.8,110.4,292.76,1.07
473,Bandarbeyla,100,SO,1581014855,75,9.49,50.81,297.75,7.68
474,Svetlaya,100,RU,1581014855,62,46.54,138.33,259.27,3.27
475,Praia da Vitoria,40,PT,1581014855,72,38.73,-27.07,289.15,11.93
476,Bengkulu,100,ID,1581014855,91,-3.8,102.27,296.89,1.6
477,Lethem,37,GY,1581014856,26,3.38,-59.8,309.25,7.63
478,Campbell River,90,CA,1581014580,100,50.02,-125.24,276.15,1.0
479,Tala,0,EG,1581014856,46,30.68,30.94,285.15,2.49
480,Paso de Patria,75,AR,1581014856,59,-27.25,-58.55,306.48,2.6
481,Chumikan,99,RU,1581014856,90,54.72,135.31,246.75,1.69
482,Vagur,100,FO,1581014857,92,61.47,-6.81,281.46,11.26
483,Duncan,1,US,1581014857,79,34.5,-97.96,275.37,2.6
484,Severnyy-Kospashskiy,99,RU,1581014857,70,59.09,57.8,257.04,0.89
485,Manadhoo,100,MV,1581014857,80,5.77,73.38,300.73,5.75
486,Amazar,38,RU,1581014857,86,53.86,120.88,244.79,1.78
487,Kaitangata,21,NZ,1581014858,85,-46.28,169.85,282.59,2.24
488,Kendari,62,ID,1581014858,92,-3.94,122.5,297.81,0.37
489,Jeremie,2,HT,1581014858,63,18.65,-74.12,298.88,4.61
490,Kiunga,65,PG,1581014858,99,-6.12,141.29,296.34,0.85
491,Kidal,17,ML,1581014859,12,18.44,1.41,295.35,1.54
492,Bosaso,66,SO,1581014859,74,11.28,49.18,297.74,7.61
493,Sitka,90,US,1581014859,75,57.05,-135.33,275.15,3.1
494,Trincomalee,55,LK,1581014859,95,8.57,81.23,294.51,0.99
495,Deputatsky,6,RU,1581014859,100,69.3,139.9,238.81,0.56
496,Petropavlovsk-Kamchatsky,100,RU,1581014859,44,53.05,158.65,255.15,3.0
497,Portree,100,GB,1581014860,89,57.41,-6.19,280.37,3.58
498,Doha,0,QA,1581014774,46,25.29,51.53,294.26,1.0
499,Ocampo,35,MX,1581014860,25,21.65,-101.5,287.81,9.02
500,Larreynaga,40,NI,1581014860,41,12.68,-86.57,306.15,2.1
501,Olinda,40,BR,1581014860,62,-8.01,-34.86,304.15,5.1
502,Margate,0,GB,1581014861,100,51.38,1.39,278.71,2.1
503,Amoy,90,CN,1581014861,82,24.48,118.08,287.15,3.0
504,Willmar,40,US,1581014861,79,45.12,-95.04,271.15,2.6
505,Luangwa,89,ZM,1581014861,89,-15.62,30.42,297.08,1.45
506,Unai,97,BR,1581014862,74,-16.36,-46.91,298.07,3.0
507,Zanjan,0,IR,1581014862,74,36.67,48.48,268.24,2.79
508,Freeport,90,US,1581014569,87,40.66,-73.58,279.82,3.1
509,Bundaberg,40,AU,1581014774,100,-24.85,152.35,296.48,2.6
510,Shihezi,99,CN,1581014862,86,44.3,86.03,262.84,1.11
511,Soyo,20,AO,1581014862,70,-6.13,12.37,303.15,3.1
512,Seoul,90,KR,1581014740,67,37.57,126.98,268.15,0.5
513,Wajima,100,JP,1581014863,64,37.4,136.9,274.11,4.13
514,Banda Aceh,64,ID,1581014863,94,5.56,95.32,295.55,2.24
515,Zhigansk,5,RU,1581014863,95,66.77,123.37,234.98,2.58
516,Zambezi,100,ZM,1581014863,90,-13.54,23.1,294.21,3.08
517,Beyneu,99,KZ,1581014864,64,45.32,55.2,280.9,6.8
518,Sioux Lookout,75,CA,1581014864,65,50.1,-91.92,258.15,1.5
519,Taoudenni,0,ML,1581014864,13,22.68,-3.98,300.55,5.06
520,Tahta,0,EG,1581014864,24,26.77,31.5,292.15,4.1
521,Barra de Tecoanapa,0,MX,1581014864,43,16.52,-98.75,306.13,2.96
522,Moerai,53,PF,1581014865,78,-22.43,-151.33,299.93,6.09
523,Davila,75,PH,1581014865,88,18.47,120.58,296.15,1.0
524,Pedernales,40,DO,1581014865,70,18.04,-71.74,303.15,5.1
525,Brae,75,GB,1581014865,87,60.4,-1.35,281.15,5.7
526,Talnakh,40,RU,1581014865,92,69.49,88.4,267.15,16.0
527,Ust'-Omchug,100,RU,1581014865,98,61.15,149.63,237.66,2.85
528,Patnos,0,TR,1581014866,85,39.23,42.86,267.75,2.39
529,Dwarka,50,IN,1581014866,60,22.24,68.97,294.91,8.93
530,Taos,75,US,1581014866,62,36.41,-105.57,266.48,9.3
531,Zeya,40,RU,1581014866,99,53.75,127.27,242.05,1.16
532,Marabu,75,MY,1581014866,100,4.41,114.01,295.15,1.0
533,Beidao,21,CN,1581014867,84,34.57,105.89,272.24,1.44
534,Alta Floresta,40,BR,1581014735,59,-9.88,-56.09,305.15,1.5
535,Awjilah,0,LY,1581014867,46,29.11,21.29,286.65,6.22
536,Dalvik,40,IS,1581014867,65,65.97,-18.53,278.15,19.5
537,Vangaindrano,88,MG,1581014867,89,-23.35,47.6,296.42,1.1
538,Lithakia,20,GR,1581014864,80,37.72,20.83,283.15,2.6
539,Waipawa,85,NZ,1581014759,77,-41.41,175.52,288.15,8.2
540,Turan,40,VN,1581014692,94,16.07,108.22,294.15,0.5
541,Mitsamiouli,20,KM,1581014868,88,-11.38,43.28,299.15,3.1
542,Port Keats,93,AU,1581014868,78,-14.25,129.55,301.26,4.87
543,Cayambe,20,EC,1581014868,20,0.05,-78.13,298.15,2.6
544,Bayir,75,TR,1581014869,93,37.27,28.22,281.15,2.6
545,Pochutla,40,MX,1581014869,62,15.74,-96.47,303.15,7.7
546,Kimbe,82,PG,1581014869,95,-5.55,150.14,296.74,1.25
